epoch=1 train_acc=0.4223 train_loss=2.7814 val_acc=0.5302 val_loss=1.4341
epoch=2 train_acc=0.5723 train_loss=1.8513 val_acc=0.6347 val_loss=1.1091
epoch=3 train_acc=0.6421 train_loss=1.4114 val_acc=0.6880 val_loss=0.9677
epoch=4 train_acc=0.6874 train_loss=1.1427 val_acc=0.6855 val_loss=1.0005
epoch=5 train_acc=0.7178 train_loss=0.9652 val_acc=0.7158 val_loss=0.8935
epoch=6 train_acc=0.7353 train_loss=0.8552 val_acc=0.7536 val_loss=0.7642
epoch=7 train_acc=0.7572 train_loss=0.7633 val_acc=0.7535 val_loss=0.7674
epoch=8 train_acc=0.7688 train_loss=0.7154 val_acc=0.7633 val_loss=0.7271
epoch=9 train_acc=0.7783 train_loss=0.6529 val_acc=0.7674 val_loss=0.7184
epoch=10 train_acc=0.7899 train_loss=0.6059 val_acc=0.7805 val_loss=0.6747
epoch=11 train_acc=0.7975 train_loss=0.5764 val_acc=0.7784 val_loss=0.6731
epoch=12 train_acc=0.8048 train_loss=0.5417 val_acc=0.7886 val_loss=0.6410
epoch=13 train_acc=0.8111 train_loss=0.5169 val_acc=0.7984 val_loss=0.6114
epoch=14 train_acc=0.8187 train_loss=0.4863 val_acc=0.7984 val_loss=0.5988
epoch=15 train_acc=0.8201 train_loss=0.4717 val_acc=0.8042 val_loss=0.5907
epoch=16 train_acc=0.8261 train_loss=0.4524 val_acc=0.8049 val_loss=0.5859
epoch=17 train_acc=0.8309 train_loss=0.4393 val_acc=0.8057 val_loss=0.5907
epoch=18 train_acc=0.8357 train_loss=0.4251 val_acc=0.8105 val_loss=0.5736
epoch=19 train_acc=0.8394 train_loss=0.4083 val_acc=0.8087 val_loss=0.5716
epoch=20 train_acc=0.8422 train_loss=0.3962 val_acc=0.8126 val_loss=0.5599
epoch=21 train_acc=0.8453 train_loss=0.3876 val_acc=0.8145 val_loss=0.5542
epoch=22 train_acc=0.8492 train_loss=0.3768 val_acc=0.8154 val_loss=0.5492
epoch=23 train_acc=0.8522 train_loss=0.3683 val_acc=0.8185 val_loss=0.5478
epoch=24 train_acc=0.8542 train_loss=0.3631 val_acc=0.8179 val_loss=0.5452
epoch=25 train_acc=0.8550 train_loss=0.3581 val_acc=0.8182 val_loss=0.5424
epoch=26 train_acc=0.8566 train_loss=0.3521 val_acc=0.8183 val_loss=0.5362
epoch=27 train_acc=0.8578 train_loss=0.3485 val_acc=0.8184 val_loss=0.5406
epoch=28 train_acc=0.8582 train_loss=0.3445 val_acc=0.8197 val_loss=0.5370
epoch=29 train_acc=0.8599 train_loss=0.3456 val_acc=0.8188 val_loss=0.5386
epoch=30 train_acc=0.8615 train_loss=0.3433 val_acc=0.8210 val_loss=0.5379
